--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
   160   40.000  -111.84668941  2.895521e-01  1.622733e+00  6.471907e-05  2.204491e-04      1849         0
   161   40.250  -111.84669546  2.895615e-01  1.622734e+00  6.340474e-05  2.159762e-04      1860         0
   162   40.500  -111.84670139  2.895706e-01  1.622736e+00  6.211714e-05  2.115940e-04      1871         0
   163   40.750  -111.84670720  2.895795e-01  1.622738e+00  6.085572e-05  2.073006e-04      1882         0
   164   41.000  -111.84671288  2.895883e-01  1.622739e+00  5.961994e-05  2.030944e-04      1893         0
   165   41.250  -111.84671845  2.895969e-01  1.622741e+00  5.840929e-05  1.989734e-04      1904         0
   166   41.500  -111.84672390  2.896053e-01  1.622742e+00  5.722325e-05  1.949360e-04      1915         0
   167   41.750  -111.84672923  2.896135e-01  1.622744e+00  5.606131e-05  1.909805e-04      1926         0
   168   42.000  -111.84673446  2.896216e-01  1.622745e+00  5.492298e-05  1.871052e-04      1937         0
   169   42.250  -111.84673958  2.896295e-01  1.622746e+00  5.380779e-05  1.833085e-04      1948         0
   170   42.500  -111.84674459  2.896372e-01  1.622748e+00  5.271526e-05  1.795888e-04      1959         0
   171   42.750  -111.84674949  2.896448e-01  1.622749e+00  5.164492e-05  1.759446e-04      1970         0
   172   43.000  -111.84675430  2.896522e-01  1.622751e+00  5.059633e-05  1.723743e-04      1981         0
   173   43.250  -111.84675900  2.896595e-01  1.622752e+00  4.956904e-05  1.688764e-04      1992         0
   174   43.500  -111.84676361  2.896666e-01  1.622753e+00  4.856261e-05  1.654494e-04      2003         0
   175   43.750  -111.84676812  2.896736e-01  1.622754e+00  4.757664e-05  1.620920e-04      2014         0
   176   44.000  -111.84677254  2.896805e-01  1.622756e+00  4.661068e-05  1.588027e-04      2025         0
   177   44.250  -111.84677687  2.896872e-01  1.622757e+00  4.566435e-05  1.555801e-04      2036         0
   178   44.500  -111.84678111  2.896937e-01  1.622758e+00  4.473724e-05  1.524229e-04      2047         0
   179   44.750  -111.84678526  2.897002e-01  1.622759e+00  4.382896e-05  1.493297e-04      2058         0
   180   45.000  -111.84678932  2.897065e-01  1.622760e+00  4.293912e-05  1.462993e-04      2069         0
   181   45.250  -111.84679330  2.897127e-01  1.622761e+00  4.206735e-05  1.433304e-04      2080         0
   182   45.500  -111.84679720  2.897187e-01  1.622763e+00  4.121329e-05  1.404217e-04      2091         0
   183   45.750  -111.84680102  2.897247e-01  1.622764e+00  4.037657e-05  1.375720e-04      2102         0
   184   46.000  -111.84680476  2.897305e-01  1.622765e+00  3.955684e-05  1.347801e-04      2113         0
   185   46.250  -111.84680842  2.897362e-01  1.622766e+00  3.875376e-05  1.320449e-04      2124         0
   186   46.500  -111.84681200  2.897417e-01  1.622767e+00  3.796699e-05  1.293651e-04      2135         0
   187   46.750  -111.84681552  2.897472e-01  1.622768e+00  3.719619e-05  1.267397e-04      2146         0
   188   47.000  -111.84681896  2.897525e-01  1.622769e+00  3.644104e-05  1.241676e-04      2157         0
   189   47.250  -111.84682232  2.897578e-01  1.622770e+00  3.570122e-05  1.216477e-04      2168         0
   190   47.500  -111.84682562  2.897629e-01  1.622771e+00  3.497643e-05  1.191789e-04      2179         0
   191   47.750  -111.84682885  2.897680e-01  1.622771e+00  3.426635e-05  1.167602e-04      2190         0
   192   48.000  -111.84683202  2.897729e-01  1.622772e+00  3.357069e-05  1.143905e-04      2201         0
   193   48.250  -111.84683512  2.897777e-01  1.622773e+00  3.288916e-05  1.120690e-04      2212         0
   194   48.500  -111.84683815  2.897825e-01  1.622774e+00  3.222146e-05  1.097945e-04      2223         0
   195   48.750  -111.84684113  2.897871e-01  1.622775e+00  3.156732e-05  1.075662e-04      2234         0
   196   49.000  -111.84684404  2.897916e-01  1.622776e+00  3.092646e-05  1.053831e-04      2245         0
   197   49.250  -111.84684689  2.897961e-01  1.622777e+00  3.029862e-05  1.032444e-04      2256         0
   198   49.500  -111.84684969  2.898004e-01  1.622777e+00  2.968351e-05  1.011490e-04      2267         0
   199   49.750  -111.84685242  2.898047e-01  1.622778e+00  2.908090e-05  9.909609e-05      2278         0
   200   50.000  -111.84685510  2.898089e-01  1.622779e+00  2.849053e-05  9.708487e-05      2289         0
   201   50.250  -111.84685773  2.898130e-01  1.622780e+00  2.791213e-05  9.511446e-05      2300         0
   202   50.500  -111.84686030  2.898170e-01  1.622780e+00  2.734549e-05  9.318403e-05      2311         0
   203   50.750  -111.84686282  2.898210e-01  1.622781e+00  2.679034e-05  9.129278e-05      2322         0
   204   51.000  -111.84686528  2.898248e-01  1.622782e+00  2.624647e-05  8.943990e-05      2333         0
   205   51.250  -111.84686770  2.898286e-01  1.622783e+00  2.571364e-05  8.762462e-05      2344         0
   206   51.500  -111.84687007  2.898323e-01  1.622783e+00  2.519162e-05  8.584618e-05      2355         0
   207   51.750  -111.84687238  2.898359e-01  1.622784e+00  2.468021e-05  8.410382e-05      2366         0
   208   52.000  -111.84687465  2.898395e-01  1.622785e+00  2.417918e-05  8.239683e-05      2377         0
   209   52.250  -111.84687688  2.898429e-01  1.622785e+00  2.368832e-05  8.072447e-05      2388         0
   210   52.500  -111.84687906  2.898464e-01  1.622786e+00  2.320742e-05  7.908605e-05      2399         0
   211   52.750  -111.84688119  2.898497e-01  1.622786e+00  2.273629e-05  7.748088e-05      2410         0
   212   53.000  -111.84688328  2.898530e-01  1.622787e+00  2.227472e-05  7.590828e-05      2421         0
   213   53.250  -111.84688533  2.898562e-01  1.622788e+00  2.182253e-05  7.436759e-05      2432         0
   214   53.500  -111.84688733  2.898593e-01  1.622788e+00  2.137951e-05  7.285818e-05      2443         0
   215   53.750  -111.84688929  2.898624e-01  1.622789e+00  2.094549e-05  7.137939e-05      2454         0
   216   54.000  -111.84689122  2.898654e-01  1.622789e+00  2.052028e-05  6.993061e-05      2465         0
   217   54.250  -111.84689310  2.898684e-01  1.622790e+00  2.010370e-05  6.851124e-05      2476         0
   218   54.500  -111.84689495  2.898713e-01  1.622790e+00  1.969558e-05  6.712067e-05      2487         0
   219   54.750  -111.84689676  2.898741e-01  1.622791e+00  1.929574e-05  6.575831e-05      2498         0
   220   55.000  -111.84689853  2.898769e-01  1.622791e+00  1.890402e-05  6.442361e-05      2509         0
   221   55.250  -111.84690026  2.898796e-01  1.622792e+00  1.852026e-05  6.311600e-05      2520         0
   222   55.500  -111.84690196  2.898823e-01  1.622792e+00  1.814428e-05  6.183492e-05      2531         0
   223   55.750  -111.84690363  2.898849e-01  1.622793e+00  1.777594e-05  6.057984e-05      2542         0
   224   56.000  -111.84690526  2.898874e-01  1.622793e+00  1.741508e-05  5.935023e-05      2553         0
   225   56.250  -111.84690685  2.898899e-01  1.622794e+00  1.706154e-05  5.814558e-05      2564         0
   226   56.500  -111.84690842  2.898924e-01  1.622794e+00  1.671518e-05  5.696537e-05      2575         0
   227   56.750  -111.84690995  2.898948e-01  1.622795e+00  1.637585e-05  5.580912e-05      2586         0
   228   57.000  -111.84691145  2.898972e-01  1.622795e+00  1.604341e-05  5.467633e-05      2597         0
   229   57.250  -111.84691292  2.898995e-01  1.622796e+00  1.571772e-05  5.356653e-05      2608         0
   230   57.500  -111.84691436  2.899017e-01  1.622796e+00  1.539864e-05  5.247926e-05      2619         0
   231   57.750  -111.84691577  2.899039e-01  1.622796e+00  1.508604e-05  5.141405e-05      2630         0
   232   58.000  -111.84691716  2.899061e-01  1.622797e+00  1.477978e-05  5.037046e-05      2641         0
   233   58.250  -111.84691851  2.899082e-01  1.622797e+00  1.447974e-05  4.934806e-05      2652         0
   234   58.500  -111.84691984  2.899103e-01  1.622798e+00  1.418580e-05  4.834640e-05      2663         0
   235   58.750  -111.84692114  2.899124e-01  1.622798e+00  1.389782e-05  4.736507e-05      2674         0
   236   59.000  -111.84692241  2.899144e-01  1.622798e+00  1.361569e-05  4.640366e-05      2685         0
   237   59.250  -111.84692366  2.899163e-01  1.622799e+00  1.333928e-05  4.546176e-05      2696         0
   238   59.500  -111.84692488  2.899182e-01  1.622799e+00  1.306849e-05  4.453898e-05      2707         0
   239   59.750  -111.84692607  2.899201e-01  1.622799e+00  1.280319e-05  4.363493e-05      2718         0
   240   60.000  -111.84692725  2.899220e-01  1.622800e+00  1.254328e-05  4.274922e-05      2729         0
   241   60.250  -111.84692839  2.899238e-01  1.622800e+00  1.228864e-05  4.188150e-05      2740         0
   242   60.500  -111.84692952  2.899255e-01  1.622800e+00  1.203918e-05  4.103138e-05      2751         0
   243   60.750  -111.84693062  2.899273e-01  1.622801e+00  1.179478e-05  4.019852e-05      2762         0
   244   61.000  -111.84693170  2.899290e-01  1.622801e+00  1.155534e-05  3.938256e-05      2773         0
   245   61.250  -111.84693276  2.899306e-01  1.622801e+00  1.132076e-05  3.858316e-05      2784         0
   246   61.500  -111.84693379  2.899323e-01  1.622802e+00  1.109094e-05  3.779999e-05      2795         0
   247   61.750  -111.84693481  2.899339e-01  1.622802e+00  1.086579e-05  3.703272e-05      2806         0
   248   62.000  -111.84693580  2.899354e-01  1.622802e+00  1.064521e-05  3.628101e-05      2817         0
   249   62.250  -111.84693677  2.899370e-01  1.622802e+00  1.042911e-05  3.554457e-05      2828         0
   250   62.500  -111.84693773  2.899385e-01  1.622803e+00  1.021739e-05  3.482307e-05      2839         0
   251   62.750  -111.84693866  2.899399e-01  1.622803e+00  1.000998e-05  3.411622e-05      2850         0
   252   63.000  -111.84693958  2.899414e-01  1.622803e+00  9.806771e-06  3.342371e-05      2861         0
   253   63.250  -111.84694047  2.899428e-01  1.622804e+00  9.607690e-06  3.274526e-05      2872         0
   254   63.500  -111.84694135  2.899442e-01  1.622804e+00  9.412650e-06  3.208058e-05      2883         0
   255   63.750  -111.84694221  2.899455e-01  1.622804e+00  9.221570e-06  3.142939e-05      2894         0
   256   64.000  -111.84694306  2.899469e-01  1.622804e+00  9.034369e-06  3.079142e-05      2905         0
   257   64.250  -111.84694388  2.899482e-01  1.622805e+00  8.850968e-06  3.016640e-05      2916         0
   258   64.500  -111.84694469  2.899494e-01  1.622805e+00  8.671291e-06  2.955406e-05      2927         0
   259   64.750  -111.84694548  2.899507e-01  1.622805e+00  8.495261e-06  2.895415e-05      2938         0
   260   65.000  -111.84694626  2.899519e-01  1.622805e+00  8.322804e-06  2.836642e-05      2949         0
   261   65.250  -111.84694702  2.899531e-01  1.622805e+00  8.153849e-06  2.779062e-05      2960         0
   262   65.500  -111.84694777  2.899543e-01  1.622806e+00  7.988323e-06  2.722650e-05      2971         0
   263   65.750  -111.84694849  2.899554e-01  1.622806e+00  7.826158e-06  2.667384e-05      2982         0
   264   66.000  -111.84694921  2.899566e-01  1.622806e+00  7.667285e-06  2.613239e-05      2993         0
   265   66.250  -111.84694991  2.899577e-01  1.622806e+00  7.511637e-06  2.560194e-05      3004         0
   266   66.500  -111.84695060  2.899587e-01  1.622806e+00  7.359148e-06  2.508225e-05      3015         0
   267   66.750  -111.84695127  2.899598e-01  1.622807e+00  7.209756e-06  2.457311e-05      3026         0
   268   67.000  -111.84695193  2.899608e-01  1.622807e+00  7.063396e-06  2.407430e-05      3037         0
   269   67.250  -111.84695257  2.899619e-01  1.622807e+00  6.920007e-06  2.358562e-05      3048         0
   270   67.500  -111.84695320  2.899629e-01  1.622807e+00  6.779529e-06  2.310686e-05      3059         0
   271   67.750  -111.84695382  2.899638e-01  1.622807e+00  6.641903e-06  2.263781e-05      3070         0
   272   68.000  -111.84695443  2.899648e-01  1.622808e+00  6.507071e-06  2.217829e-05      3081         0
   273   68.250  -111.84695502  2.899657e-01  1.622808e+00  6.374976e-06  2.172809e-05      3092         0
   274   68.500  -111.84695561  2.899666e-01  1.622808e+00  6.245562e-06  2.128703e-05      3103         0
   275   68.750  -111.84695618  2.899675e-01  1.622808e+00  6.118776e-06  2.085493e-05      3114         0
   276   69.000  -111.84695673  2.899684e-01  1.622808e+00  5.994564e-06  2.043159e-05      3125         0
   277   69.250  -111.84695728  2.899693e-01  1.622808e+00  5.872873e-06  2.001685e-05      3136         0
   278   69.500  -111.84695782  2.899701e-01  1.622809e+00  5.753652e-06  1.961053e-05      3147         0
   279   69.750  -111.84695834  2.899710e-01  1.622809e+00  5.636852e-06  1.921245e-05      3158         0
   280   70.000  -111.84695886  2.899718e-01  1.622809e+00  5.522423e-06  1.882245e-05      3169         0
   281   70.250  -111.84695936  2.899726e-01  1.622809e+00  5.410317e-06  1.844037e-05      3180         0
   282   70.500  -111.84695986  2.899734e-01  1.622809e+00  5.300486e-06  1.806605e-05      3191         0
   283   70.750  -111.84696034  2.899741e-01  1.622809e+00  5.192885e-06  1.769932e-05      3202         0
   284   71.000  -111.84696081  2.899749e-01  1.622809e+00  5.087469e-06  1.734004e-05      3213         0
   285   71.250  -111.84696128  2.899756e-01  1.622810e+00  4.984192e-06  1.698805e-05      3224         0
   286   71.500  -111.84696173  2.899763e-01  1.622810e+00  4.883013e-06  1.664321e-05      3235         0
   287   71.750  -111.84696218  2.899770e-01  1.622810e+00  4.783887e-06  1.630537e-05      3246         0
   288   72.000  -111.84696261  2.899777e-01  1.622810e+00  4.686773e-06  1.597438e-05      3257         0
   289   72.250  -111.84696304  2.899784e-01  1.622810e+00  4.591631e-06  1.565011e-05      3268         0
   290   72.500  -111.84696346  2.899790e-01  1.622810e+00  4.498420e-06  1.533243e-05      3279         0
   291   72.750  -111.84696387  2.899797e-01  1.622810e+00  4.407101e-06  1.502119e-05      3290         0
   292   73.000  -111.84696427  2.899803e-01  1.622810e+00  4.317637e-06  1.471627e-05      3301         0
   293   73.250  -111.84696467  2.899809e-01  1.622811e+00  4.229988e-06  1.441754e-05      3312         0
   294   73.500  -111.84696505  2.899816e-01  1.622811e+00  4.144119e-06  1.412487e-05      3323         0
   295   73.750  -111.84696543  2.899822e-01  1.622811e+00  4.059993e-06  1.383815e-05      3334         0
   296   74.000  -111.84696580  2.899827e-01  1.622811e+00  3.977574e-06  1.355724e-05      3345         0
   297   74.250  -111.84696616  2.899833e-01  1.622811e+00  3.896829e-06  1.328204e-05      3356         0
   298   74.500  -111.84696652  2.899839e-01  1.622811e+00  3.817723e-06  1.301242e-05      3367         0
   299   74.750  -111.84696687  2.899844e-01  1.622811e+00  3.740223e-06  1.274828e-05      3378         0
   300   75.000  -111.84696721  2.899850e-01  1.622811e+00  3.664296e-06  1.248950e-05      3389         0
   301   75.250  -111.84696754  2.899855e-01  1.622811e+00  3.589910e-06  1.223597e-05      3400         0
   302   75.500  -111.84696787  2.899860e-01  1.622812e+00  3.517035e-06  1.198758e-05      3411         0
   303   75.750  -111.84696819  2.899865e-01  1.622812e+00  3.445639e-06  1.174424e-05      3422         0
   304   76.000  -111.84696850  2.899870e-01  1.622812e+00  3.375692e-06  1.150584e-05      3433         0
   305   76.250  -111.84696881  2.899875e-01  1.622812e+00  3.307165e-06  1.127228e-05      3444         0
   306   76.500  -111.84696911  2.899880e-01  1.622812e+00  3.240029e-06  1.104346e-05      3455         0
   307   76.750  -111.84696941  2.899884e-01  1.622812e+00  3.174256e-06  1.081928e-05      3466         0
   308   77.000  -111.84696970  2.899889e-01  1.622812e+00  3.109819e-06  1.059966e-05      3477         0
   309   77.250  -111.84696998  2.899893e-01  1.622812e+00  3.046689e-06  1.038449e-05      3488         0
   310   77.500  -111.84697026  2.899898e-01  1.622812e+00  2.984841e-06  1.017369e-05      3499         0
   311   77.750  -111.84697053  2.899902e-01  1.622812e+00  2.924249e-06  9.967168e-06      3510         0
   312   78.000  -111.84697080  2.899906e-01  1.622812e+00  2.864886e-06  9.764839e-06      3521         0
   313   78.250  -111.84697106  2.899910e-01  1.622812e+00  2.806729e-06  9.566618e-06      3532         0
   314   78.500  -111.84697132  2.899915e-01  1.622813e+00  2.749752e-06  9.372420e-06      3543         0
   315   78.750  -111.84697157  2.899918e-01  1.622813e+00  2.693932e-06  9.182164e-06      3554         0
   316   79.000  -111.84697181  2.899922e-01  1.622813e+00  2.639245e-06  8.995771e-06      3565         0
   317   79.250  -111.84697205  2.899926e-01  1.622813e+00  2.585668e-06  8.813160e-06      3576         0
   318   79.500  -111.84697229  2.899930e-01  1.622813e+00  2.533179e-06  8.634257e-06      3587         0
   319   79.750  -111.84697252  2.899934e-01  1.622813e+00  2.481755e-06  8.458985e-06      3598         0
   320   80.000  -111.84697275  2.899937e-01  1.622813e+00  2.431375e-06  8.287272e-06      3609         0
   321   80.250  -111.84697297  2.899941e-01  1.622813e+00  2.382018e-06  8.119043e-06      3620         0
   322   80.500  -111.84697318  2.899944e-01  1.622813e+00  2.333663e-06  7.954230e-06      3631         0
   323   80.750  -111.84697340  2.899947e-01  1.622813e+00  2.286290e-06  7.792763e-06      3642         0
   324   81.000  -111.84697361  2.899951e-01  1.622813e+00  2.239878e-06  7.634573e-06      3653         0
   325   81.250  -111.84697381  2.899954e-01  1.622813e+00  2.194408e-06  7.479594e-06      3664         0
   326   81.500  -111.84697401  2.899957e-01  1.622813e+00  2.149862e-06  7.327761e-06      3675         0
   327   81.750  -111.84697421  2.899960e-01  1.622813e+00  2.106219e-06  7.179010e-06      3686         0
   328   82.000  -111.84697440  2.899963e-01  1.622813e+00  2.063463e-06  7.033279e-06      3697         0
   329   82.250  -111.84697459  2.899966e-01  1.622814e+00  2.021575e-06  6.890506e-06      3708         0
   330   82.500  -111.84697477  2.899969e-01  1.622814e+00  1.980537e-06  6.750631e-06      3719         0
   331   82.750  -111.84697495  2.899972e-01  1.622814e+00  1.940332e-06  6.613596e-06      3730         0
   332   83.000  -111.84697513  2.899975e-01  1.622814e+00  1.900943e-06  6.479342e-06      3741         0
   333   83.250  -111.84697530  2.899977e-01  1.622814e+00  1.862354e-06  6.347813e-06      3752         0
   334   83.500  -111.84697547  2.899980e-01  1.622814e+00  1.824548e-06  6.218955e-06      3763         0
   335   83.750  -111.84697564  2.899983e-01  1.622814e+00  1.787510e-06  6.092712e-06      3774         0
   336   84.000  -111.84697580  2.899985e-01  1.622814e+00  1.751223e-06  5.969032e-06      3785         0
   337   84.250  -111.84697596  2.899988e-01  1.622814e+00  1.715673e-06  5.847863e-06      3796         0
   338   84.500  -111.84697612  2.899990e-01  1.622814e+00  1.680845e-06  5.729153e-06      3807         0
   339   84.750  -111.84697627  2.899993e-01  1.622814e+00  1.646724e-06  5.612853e-06      3818         0
   340   85.000  -111.84697642  2.899995e-01  1.622814e+00  1.613295e-06  5.498914e-06      3829         0
   341   85.250  -111.84697657  2.899997e-01  1.622814e+00  1.580545e-06  5.387287e-06      3840         0
   342   85.500  -111.84697671  2.900000e-01  1.622814e+00  1.548460e-06  5.277927e-06      3851         0
   343   85.750  -111.84697685  2.900002e-01  1.622814e+00  1.517027e-06  5.170787e-06      3862         0
   344   86.000  -111.84697699  2.900004e-01  1.622814e+00  1.486231e-06  5.065821e-06      3873         0
   345   86.250  -111.84697712  2.900006e-01  1.622814e+00  1.456060e-06  4.962986e-06      3884         0
   346   86.500  -111.84697726  2.900008e-01  1.622814e+00  1.426502e-06  4.862239e-06      3895         0
   347   86.750  -111.84697739  2.900010e-01  1.622814e+00  1.397544e-06  4.763537e-06      3906         0
   348   87.000  -111.84697751  2.900012e-01  1.622814e+00  1.369174e-06  4.666838e-06      3917         0
   349   87.250  -111.84697764  2.900014e-01  1.622814e+00  1.341380e-06  4.572103e-06      3928         0
   350   87.500  -111.84697776  2.900016e-01  1.622814e+00  1.314150e-06  4.479290e-06      3939         0
   351   87.750  -111.84697788  2.900018e-01  1.622815e+00  1.287473e-06  4.388362e-06      3950         0
   352   88.000  -111.84697800  2.900020e-01  1.622815e+00  1.261337e-06  4.299279e-06      3961         0
   353   88.250  -111.84697811  2.900022e-01  1.622815e+00  1.235732e-06  4.212005e-06      3972         0
   354   88.500  -111.84697823  2.900024e-01  1.622815e+00  1.210647e-06  4.126502e-06      3983         0
   355   88.750  -111.84697834  2.900025e-01  1.622815e+00  1.186070e-06  4.042735e-06      3994         0
   356   89.000  -111.84697844  2.900027e-01  1.622815e+00  1.161993e-06  3.960669e-06      4005         0
   357   89.250  -111.84697855  2.900029e-01  1.622815e+00  1.138405e-06  3.880268e-06      4016         0
   358   89.500  -111.84697865  2.900030e-01  1.622815e+00  1.115295e-06  3.801499e-06      4027         0
   359   89.750  -111.84697876  2.900032e-01  1.622815e+00  1.092655e-06  3.724330e-06      4038         0
   360   90.000  -111.84697885  2.900034e-01  1.622815e+00  1.070474e-06  3.648727e-06      4049         0
   361   90.250  -111.84697895  2.900035e-01  1.622815e+00  1.048743e-06  3.574658e-06      4060         0
   362   90.500  -111.84697905  2.900037e-01  1.622815e+00  1.027454e-06  3.502093e-06      4071         0
   363   90.750  -111.84697914  2.900038e-01  1.622815e+00  1.006596e-06  3.431002e-06      4082         0
   364   91.000  -111.84697923  2.900040e-01  1.622815e+00  9.861625e-07  3.361353e-06      4093         0
   365   91.250  -111.84697932  2.900041e-01  1.622815e+00  9.661434e-07  3.293118e-06      4104         0
   366   91.500  -111.84697941  2.900042e-01  1.622815e+00  9.465307e-07  3.226269e-06      4115         0
   367   91.750  -111.84697950  2.900044e-01  1.622815e+00  9.273162e-07  3.160776e-06      4126         0
   368   92.000  -111.84697958  2.900045e-01  1.622815e+00  9.084917e-07  3.096613e-06      4137         0
   369   92.250  -111.84697966  2.900046e-01  1.622815e+00  8.900493e-07  3.033752e-06      4148         0
   370   92.500  -111.84697975  2.900048e-01  1.622815e+00  8.719813e-07  2.972168e-06      4159         0
   371   92.750  -111.84697982  2.900049e-01  1.622815e+00  8.542801e-07  2.911833e-06      4170         0
   372   93.000  -111.84697990  2.900050e-01  1.622815e+00  8.369382e-07  2.852724e-06      4181         0
   373   93.250  -111.84697998  2.900051e-01  1.622815e+00  8.199484e-07  2.794814e-06      4192         0
   374   93.500  -111.84698005  2.900053e-01  1.622815e+00  8.033035e-07  2.738080e-06      4203         0
   375   93.750  -111.84698013  2.900054e-01  1.622815e+00  7.869964e-07  2.682497e-06      4214         0
   376   94.000  -111.84698020  2.900055e-01  1.622815e+00  7.710204e-07  2.628043e-06      4225         0
   377   94.250  -111.84698027  2.900056e-01  1.622815e+00  7.553687e-07  2.574694e-06      4236         0
   378   94.500  -111.84698034  2.900057e-01  1.622815e+00  7.400348e-07  2.522428e-06      4247         0
   379   94.750  -111.84698040  2.900058e-01  1.622815e+00  7.250121e-07  2.471223e-06      4258         0
   380   95.000  -111.84698047  2.900059e-01  1.622815e+00  7.102944e-07  2.421058e-06      4269         0
   381   95.250  -111.84698054  2.900060e-01  1.622815e+00  6.958754e-07  2.371911e-06      4280         0
   382   95.500  -111.84698060  2.900061e-01  1.622815e+00  6.817491e-07  2.323761e-06      4291         0
   383   95.750  -111.84698066  2.900062e-01  1.622815e+00  6.679097e-07  2.276589e-06      4302         0
   384   96.000  -111.84698072  2.900063e-01  1.622815e+00  6.543511e-07  2.230375e-06      4313         0
   385   96.250  -111.84698078  2.900064e-01  1.622815e+00  6.410678e-07  2.185099e-06      4324         0
   386   96.500  -111.84698084  2.900065e-01  1.622815e+00  6.280541e-07  2.140742e-06      4335         0
   387   96.750  -111.84698090  2.900066e-01  1.622815e+00  6.153047e-07  2.097285e-06      4346         0
   388   97.000  -111.84698095  2.900067e-01  1.622815e+00  6.028140e-07  2.054710e-06      4357         0
   389   97.250  -111.84698101  2.900068e-01  1.622815e+00  5.905769e-07  2.013000e-06      4368         0
   390   97.500  -111.84698106  2.900069e-01  1.622815e+00  5.785882e-07  1.972136e-06      4379         0
   391   97.750  -111.84698111  2.900069e-01  1.622815e+00  5.668429e-07  1.932102e-06      4390         0
   392   98.000  -111.84698117  2.900070e-01  1.622815e+00  5.553360e-07  1.892881e-06      4401         0
   393   98.250  -111.84698122  2.900071e-01  1.622815e+00  5.440627e-07  1.854456e-06      4412         0
   394   98.500  -111.84698127  2.900072e-01  1.622816e+00  5.330182e-07  1.816810e-06      4423         0
   395   98.750  -111.84698131  2.900073e-01  1.622816e+00  5.221980e-07  1.779929e-06      4434         0
   396   99.000  -111.84698136  2.900073e-01  1.622816e+00  5.115974e-07  1.743797e-06      4445         0
   397   99.250  -111.84698141  2.900074e-01  1.622816e+00  5.012120e-07  1.708398e-06      4456         0
   398   99.500  -111.84698145  2.900075e-01  1.622816e+00  4.910374e-07  1.673718e-06      4467         0
   399   99.750  -111.84698150  2.900075e-01  1.622816e+00  4.810693e-07  1.639742e-06      4478         0
   400  100.000  -111.84698154  2.900076e-01  1.622816e+00  4.713037e-07  1.606455e-06      4489         0
   401  100.250  -111.84698159  2.900077e-01  1.622816e+00  4.617362e-07  1.573844e-06      4500         0
   402  100.500  -111.84698163  2.900078e-01  1.622816e+00  4.523630e-07  1.541896e-06      4511         0
   403  100.750  -111.84698167  2.900078e-01  1.622816e+00  4.431800e-07  1.510595e-06      4522         0
   404  101.000  -111.84698171  2.900079e-01  1.622816e+00  4.341835e-07  1.479930e-06      4533         0
   405  101.250  -111.84698175  2.900079e-01  1.622816e+00  4.253696e-07  1.449888e-06      4544         0
   406  101.500  -111.84698179  2.900080e-01  1.622816e+00  4.167346e-07  1.420455e-06      4555         0
   407  101.750  -111.84698183  2.900081e-01  1.622816e+00  4.082749e-07  1.391620e-06      4566         0
   408  102.000  -111.84698186  2.900081e-01  1.622816e+00  3.999869e-07  1.363371e-06      4577         0
   409  102.250  -111.84698190  2.900082e-01  1.622816e+00  3.918672e-07  1.335694e-06      4588         0
   410  102.500  -111.84698194  2.900082e-01  1.622816e+00  3.839123e-07  1.308580e-06      4599         0
   411  102.750  -111.84698197  2.900083e-01  1.622816e+00  3.761189e-07  1.282016e-06      4610         0
   412  103.000  -111.84698200  2.900083e-01  1.622816e+00  3.684837e-07  1.255991e-06      4621         0
   413  103.250  -111.84698204  2.900084e-01  1.622816e+00  3.610035e-07  1.230495e-06      4632         0
   414  103.500  -111.84698207  2.900085e-01  1.622816e+00  3.536752e-07  1.205516e-06      4643         0
   415  103.750  -111.84698210  2.900085e-01  1.622816e+00  3.464956e-07  1.181044e-06      4654         0
   416  104.000  -111.84698213  2.900086e-01  1.622816e+00  3.394617e-07  1.157069e-06      4665         0
   417  104.250  -111.84698217  2.900086e-01  1.622816e+00  3.325707e-07  1.133580e-06      4676         0
