--- chiEFTparameters used ---
n_mesh = 50
pmax_fm = 5.0
emax = 4
Nnmax = 20
chi_order = 4
calc_NN = true
calc_3N = true
coulomb = true
calc_EperA = false
hw = 20.0
srg = true
srg_lambda = 2.0
tbme_fmt = snt.bin
fn_tbme = tbme_emn500n4lo_2n3n_srg2.0hw20emax4.snt.bin
pottype = emn500n4lo
LambdaSFR = 700.0
target_nlj = Vector{Int64}[]
v_chi_order = 0
n_mesh_P = 10
Pmax_fm = 3.0
kF = 1.35
BetaCM = 0.0
-----------------------------
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
# of two-body states 78
# of sp states 15
# of channels 2bstate 55 #TBME = 34320
size of dWS (jmax 9 lmax 40 e2max 8 Nnmax 20):
     dtri    4.46 MB    dcgm0    1.11 MB  d6j_int    1.11 MB   d6j_lj    0.28 MB
  d9j_lsj    1.76 MB  dictHOB    0.44 MB
target: O16 Ref. => Z=8 N=8 E:     -86.8656  = E1b    329.29  + E2b   -416.16   (    -35.64  -327.21   -53.31)
EMP2    -23.15627 1b    -0.000 pp    -2.982 pn   -17.138 nn    -3.036
EMP3      0.47114 pp     0.637 hh    -1.206 ph     1.040
E_HF    -86.86559  E_MBPT(3) =    -109.5507  Eexp:     -127.619

parameters in ann_sample_params.jl will be used.
 step:        s             E0   ||Omega_1||   ||Omega_2||     ||Eta_1||     ||Eta_2||    Ncomm.  nwritten
    48   12.000  -111.84094499  2.809159e-01  1.618675e+00  2.061874e-03  2.815200e-03       611         0
    49   12.250  -111.84130062  2.814309e-01  1.619034e+00  1.900231e-03  2.662054e-03       623         0
    50   12.500  -111.84162256  2.819044e-01  1.619358e+00  1.753366e-03  2.526905e-03       635         0
    51   12.750  -111.84191465  2.823401e-01  1.619650e+00  1.619937e-03  2.407374e-03       647         0
    52   13.000  -111.84218028  2.827414e-01  1.619913e+00  1.498721e-03  2.301344e-03       659         0
    53   13.250  -111.84242236  2.831113e-01  1.620151e+00  1.388604e-03  2.206944e-03       671         0
    54   13.500  -111.84264347  2.834528e-01  1.620366e+00  1.288572e-03  2.122527e-03       683         0
    55   13.750  -111.84285225  2.837573e-01  1.620559e+00  1.206783e-03  2.044820e-03       694         0
    56   14.000  -111.84304505  2.840411e-01  1.620734e+00  1.131273e-03  1.974999e-03       705         0
    57   14.250  -111.84322338  2.843057e-01  1.620892e+00  1.061686e-03  1.911818e-03       716         0
    58   14.500  -111.84338861  2.845525e-01  1.621034e+00  9.976431e-04  1.854234e-03       727         0
    59   14.750  -111.84354195  2.847828e-01  1.621164e+00  9.387576e-04  1.801374e-03       738         0
    60   15.000  -111.84368452  2.849981e-01  1.621280e+00  8.846487e-04  1.752510e-03       749         0
    61   15.250  -111.84381729  2.851994e-01  1.621386e+00  8.349473e-04  1.707036e-03       760         0
    62   15.500  -111.84394115  2.853879e-01  1.621483e+00  7.893006e-04  1.664449e-03       771         0
